,center_diff_valid,heater_time,outdoor_temp,temp,time
-1,False,,,,
0,False,0.0,35.0,66.1,0.0
1,True,0.0,35.0,66.0,300.0
2,True,0.0,35.0,66.0,600.0
3,True,0.0,35.0,66.0,900.0
4,True,0.0,35.0,65.9,1200.0
5,True,0.0,35.0,65.9,1500.0
6,True,0.0,35.0,65.8,1800.0
7,True,0.0,35.0,65.7,2100.0
8,True,0.0,35.0,65.7,2400.0
9,True,0.0,35.0,65.6,2700.0
10,True,0.0,35.0,65.5,3000.0
11,True,0.0,35.0,65.4,3300.0
12,True,0.0,37.1,65.3,3600.0
13,True,0.0,37.1,65.3,3900.0000000000005
14,True,0.0,37.1,65.3,4200.0
15,True,0.0,37.1,65.2,4500.0
16,True,0.0,37.1,65.1,4800.0
17,True,0.0,37.1,65.1,5100.0
18,True,0.0,37.1,65.1,5400.0
19,True,0.0,37.1,65.1,5700.0
20,True,0.0,37.1,65.1,6000.0
21,True,0.0,37.1,65.1,6300.0
22,True,0.0,37.1,65.1,6600.0
23,True,0.0,37.1,65.1,6900.0
24,True,0.0,37.7,64.9,7200.0
25,True,0.0,37.7,64.9,7500.000000000001
26,True,0.0,37.7,64.9,7800.000000000001
27,True,0.0,37.7,64.8,8100.000000000001
28,True,0.0,37.7,64.8,8400.0
29,True,0.0,37.7,64.8,8700.0
30,True,0.0,37.6,64.8,9000.0
31,True,0.0,37.6,64.7,9300.0
32,True,0.0,37.6,64.7,9600.0
33,True,0.0,37.6,64.7,9900.0
34,True,0.0,37.6,64.7,10200.0
35,True,0.0,37.6,64.7,10500.0
36,True,0.0,38.7,64.6,10800.0
37,True,0.0,38.7,64.5,11100.0
38,True,0.0,38.7,64.5,11400.0
39,True,0.0,38.7,64.4,11700.0
40,True,0.0,38.7,64.3,12000.0
41,True,0.0,38.7,64.3,12300.0
42,True,0.0,38.7,64.2,12600.0
43,True,0.0,38.7,64.1,12900.0
44,True,0.0,38.7,64.1,13200.0
45,True,0.0,38.7,64.1,13500.0
46,True,0.0,38.7,64.1,13800.0
47,True,0.0,38.7,64.0,14100.0
48,True,0.0,38.4,64.0,14400.0
49,True,0.0,38.4,63.9,14700.000000000002
50,True,0.0,38.4,63.8,15000.000000000002
51,True,0.0,38.4,63.7,15300.000000000002
52,True,0.0,38.4,63.7,15600.000000000002
53,True,0.0,38.4,63.8,15900.000000000002
54,True,0.0,40.2,63.9,16200.000000000002
55,True,0.0,40.2,63.9,16500.0
56,True,0.0,40.2,63.9,16800.0
57,True,0.0,40.2,64.0,17100.0
58,True,0.0,40.2,63.9,17400.0
59,True,0.0,40.2,63.7,17700.0
60,True,0.0,39.9,63.5,18000.0
61,True,0.0,39.9,63.4,18300.0
62,True,0.0,39.9,63.3,18600.0
63,True,0.0,39.9,63.2,18900.0
64,True,0.0,39.9,63.2,19200.0
65,True,0.0,39.9,63.1,19500.0
66,True,0.0,39.9,63.0,19800.0
67,True,0.0,39.9,63.0,20100.0
68,True,0.0,39.9,63.0,20400.0
69,True,0.0,39.9,62.9,20700.0
70,True,0.0,39.9,62.9,21000.0
71,True,0.0,39.9,62.9,21300.0
72,True,0.0,40.2,62.7,21600.0
73,True,0.0,40.2,62.7,21900.0
74,True,0.0,40.2,62.6,22200.0
75,True,0.0,40.2,62.5,22500.0
76,True,0.0,40.2,62.5,22800.0
77,True,0.0,40.2,62.5,23100.0
78,True,0.0,40.2,62.4,23400.0
79,True,0.0,40.2,62.3,23700.0
80,True,0.0,40.2,62.3,24000.0
81,False,0.0,40.2,62.3,24300.0
82,False,135.0,40.2,62.2,24600.0
83,False,300.0,40.2,62.2,24900.0
84,False,300.0,40.5,62.5,25200.0
85,False,300.0,40.5,63.1,25500.0
86,False,300.0,40.5,63.9,25800.0
87,False,300.0,40.5,64.7,26100.0
88,False,300.0,40.5,65.5,26400.0
89,False,300.0,40.5,66.1,26700.0
90,False,75.0,40.5,66.9,27000.0
91,False,0.0,40.5,67.3,27300.0
92,True,0.0,40.5,67.1,27600.0
93,True,0.0,40.5,66.8,27900.0
94,False,0.0,40.5,66.3,28200.0
95,False,270.0,40.5,66.0,28500.0
96,False,300.0,41.5,65.8,28800.0
97,False,300.0,41.5,66.0,29100.0
98,False,300.0,41.5,66.6,29400.000000000004
99,False,300.0,41.5,67.3,29700.000000000004
100,False,15.0,41.5,67.8,30000.000000000004
101,False,0.0,41.5,68.0,30300.000000000004
102,False,15.0,41.5,67.6,30600.000000000004
103,False,300.0,41.5,67.0,30900.000000000004
104,False,300.0,41.5,67.0,31200.000000000004
105,False,300.0,41.5,67.2,31500.000000000004
106,False,90.0,41.5,67.7,31800.000000000004
107,False,0.0,41.5,68.0,32100.000000000004
108,True,0.0,41.8,68.1,32400.000000000004
109,True,0.0,41.8,67.9,32700.000000000004
110,True,0.0,41.8,67.6,33000.0
111,True,0.0,41.8,67.4,33300.0
112,True,0.0,41.8,67.2,33600.0
113,True,0.0,41.8,67.2,33900.0
114,True,0.0,41.8,67.0,34200.0
115,True,0.0,41.8,67.0,34500.0
116,True,0.0,41.8,67.2,34800.0
117,True,0.0,41.8,67.1,35100.0
118,True,0.0,41.8,67.0,35400.0
119,False,0.0,41.8,66.8,35700.0
120,False,180.0,42.1,66.7,36000.0
121,False,300.0,42.1,66.7,36300.0
122,False,300.0,42.1,66.9,36600.0
123,False,195.0,42.1,67.4,36900.0
124,False,0.0,42.1,68.1,37200.0
125,True,0.0,42.1,68.1,37500.0
126,True,0.0,42.1,67.8,37800.0
127,False,0.0,42.1,67.6,38100.0
128,False,300.0,42.1,67.3,38400.0
129,False,270.0,42.1,67.4,38700.0
130,False,0.0,42.1,67.8,39000.0
131,True,0.0,42.1,68.1,39300.0
132,True,0.0,41.9,67.9,39600.0
133,False,0.0,41.9,67.7,39900.0
134,False,300.0,41.9,67.4,40200.0
135,False,165.0,41.9,67.6,40500.0
136,False,0.0,41.9,67.9,40800.0
137,True,0.0,41.9,68.0,41100.0
138,True,0.0,40.9,67.8,41400.0
139,False,0.0,40.9,67.6,41700.0
140,False,165.0,40.9,67.5,42000.0
141,False,300.0,40.9,67.4,42300.0
142,False,150.0,40.9,67.7,42600.0
143,False,0.0,40.9,68.1,42900.0
144,True,0.0,41.2,68.2,43200.0
145,True,0.0,41.2,68.1,43500.0
146,True,0.0,41.2,67.9,43800.0
147,True,0.0,41.2,67.7,44100.0
148,True,0.0,41.2,67.5,44400.0
149,True,0.0,41.2,67.5,44700.0
150,True,0.0,40.8,67.3,45000.0
151,True,0.0,40.8,67.2,45300.0
152,True,0.0,40.8,67.2,45600.0
153,True,0.0,40.8,67.1,45900.0
154,True,0.0,40.8,67.1,46200.0
155,True,0.0,40.8,67.0,46500.0
156,True,0.0,40.3,66.9,46800.0
157,True,0.0,40.3,66.8,47100.0
158,True,0.0,40.3,66.8,47400.0
159,True,0.0,40.3,66.7,47700.0
160,True,0.0,40.3,66.6,48000.0
161,True,0.0,40.3,66.5,48300.0
162,True,0.0,40.3,66.5,48600.0
163,True,0.0,40.3,66.4,48900.0
164,False,0.0,40.3,66.4,49200.0
165,False,135.0,40.3,66.3,49500.0
166,False,300.0,40.3,66.2,49800.0
167,False,300.0,40.3,66.4,50100.0
168,False,300.0,40.0,66.8,50400.0
169,False,90.0,40.0,67.5,50700.0
170,False,0.0,40.0,68.0,51000.0
171,True,0.0,40.0,68.1,51300.0
172,True,0.0,40.0,67.9,51600.0
173,True,0.0,40.0,67.8,51900.0
174,True,0.0,39.5,67.6,52200.0
175,False,0.0,39.5,67.6,52500.0
176,False,270.0,39.5,67.4,52800.0
177,False,225.0,39.5,67.5,53100.0
178,False,0.0,39.5,67.9,53400.0
179,True,0.0,39.5,68.2,53700.0
180,True,0.0,39.4,68.2,54000.0
181,True,0.0,39.4,68.3,54300.0
182,True,0.0,39.4,68.4,54600.0
183,True,0.0,39.4,68.3,54900.0
184,False,0.0,39.4,67.9,55200.0
185,False,15.0,39.4,67.6,55500.0
186,False,300.0,39.2,67.4,55800.0
187,False,255.0,39.2,67.5,56100.0
188,False,0.0,39.2,67.9,56400.0
189,True,0.0,39.2,68.1,56700.0
190,True,0.0,39.2,67.9,57000.0
191,False,0.0,39.2,67.6,57300.0
192,False,180.0,39.0,67.5,57600.0
193,False,270.0,39.0,67.5,57900.0
194,False,0.0,39.0,67.9,58200.0
195,True,0.0,39.0,68.3,58500.00000000001
196,True,0.0,39.0,68.2,58800.00000000001
197,True,0.0,39.0,68.0,59100.00000000001
198,True,0.0,39.0,67.9,59400.00000000001
199,False,0.0,39.0,67.7,59700.00000000001
200,False,45.0,39.0,67.6,60000.00000000001
201,False,300.0,39.0,67.5,60300.00000000001
202,False,105.0,39.0,67.7,60600.00000000001
203,False,0.0,39.0,68.2,60900.00000000001
204,True,0.0,38.7,68.2,61200.00000000001
205,True,0.0,38.7,68.0,61500.00000000001
206,True,0.0,38.7,67.9,61800.00000000001
207,True,0.0,38.7,67.8,62100.00000000001
208,False,0.0,38.7,67.7,62400.00000000001
209,False,180.0,38.7,67.5,62700.00000000001
