,center_diff_valid,heater_time,outdoor_temp,temp,time
-1,False,,,,
0,False,0.0,36.6,67.6,0.0
1,False,195.0,36.6,67.5,300.0
2,False,210.0,36.6,67.4,600.0
3,False,0.0,36.6,67.8,900.0
4,True,0.0,36.6,68.1,1200.0
5,True,0.0,36.6,68.0,1500.0
6,True,0.0,36.6,67.7,1800.0
7,True,0.0,36.6,67.5,2100.0
8,False,0.0,36.6,67.4,2400.0
9,False,,36.6,,2700.0
10,False,,36.6,,3000.0
11,False,0.0,36.6,67.1,3300.0
12,True,0.0,37.1,67.0,3600.0
13,True,0.0,37.1,67.0,3900.0000000000005
14,True,0.0,37.1,67.1,4200.0
15,True,0.0,37.1,66.9,4500.0
16,True,0.0,37.1,66.8,4800.0
17,True,0.0,37.1,66.7,5100.0
18,True,0.0,37.1,66.5,5400.0
19,True,0.0,37.1,66.4,5700.0
20,True,0.0,37.1,66.4,6000.0
21,True,0.0,37.1,66.3,6300.0
22,True,0.0,37.1,66.2,6600.0
23,True,0.0,37.1,66.0,6900.0
24,True,0.0,35.3,66.0,7200.0
25,True,0.0,35.3,66.0,7500.000000000001
26,True,0.0,35.3,65.9,7800.000000000001
27,True,0.0,35.3,65.9,8100.000000000001
28,True,0.0,35.3,65.9,8400.0
29,True,0.0,35.3,65.8,8700.0
30,True,0.0,35.3,65.7,9000.0
31,True,0.0,35.3,65.6,9300.0
32,True,0.0,35.3,65.6,9600.0
33,True,0.0,35.3,65.5,9900.0
34,True,0.0,35.3,65.4,10200.0
35,True,0.0,35.3,65.4,10500.0
36,True,0.0,35.7,65.3,10800.0
37,True,0.0,35.7,65.2,11100.0
38,True,0.0,35.7,65.2,11400.0
39,True,0.0,35.7,65.1,11700.0
40,True,0.0,35.7,65.1,12000.0
41,True,0.0,35.7,65.1,12300.0
42,True,0.0,35.2,65.0,12600.0
43,True,0.0,35.2,65.0,12900.0
44,True,0.0,35.2,64.9,13200.0
45,True,0.0,35.2,64.8,13500.0
46,True,0.0,35.2,64.8,13800.0
47,True,0.0,35.2,64.7,14100.0
48,True,0.0,36.1,64.6,14400.0
49,True,0.0,36.1,64.6,14700.000000000002
50,True,0.0,36.1,64.5,15000.000000000002
51,True,0.0,36.1,64.4,15300.000000000002
52,True,0.0,36.1,64.4,15600.000000000002
53,True,0.0,36.1,64.4,15900.000000000002
54,True,0.0,35.0,64.2,16200.000000000002
55,True,0.0,35.0,64.2,16500.0
56,True,0.0,35.0,64.1,16800.0
57,True,0.0,35.0,64.1,17100.0
58,True,0.0,35.0,64.1,17400.0
59,True,0.0,35.0,64.0,17700.0
60,True,0.0,35.0,63.9,18000.0
61,True,0.0,35.0,63.9,18300.0
62,True,0.0,35.0,63.8,18600.0
63,False,0.0,35.0,63.7,18900.0
64,False,150.0,35.0,63.7,19200.0
65,False,300.0,35.0,63.7,19500.0
66,False,300.0,32.5,64.0,19800.0
67,False,300.0,32.5,64.9,20100.0
68,False,300.0,32.5,65.8,20400.0
69,False,300.0,32.5,66.6,20700.0
70,False,210.0,32.5,67.3,21000.0
71,False,0.0,32.5,67.8,21300.0
72,False,90.0,32.4,67.7,21600.0
73,False,300.0,32.4,67.3,21900.0
74,False,,32.4,,22200.0
75,False,195.0,32.4,67.3,22500.0
76,False,0.0,32.4,67.6,22800.0
77,False,120.0,32.4,67.6,23100.0
78,False,300.0,32.0,67.3,23400.0
79,False,135.0,32.0,67.5,23700.0
80,False,0.0,32.0,67.9,24000.0
81,False,0.0,32.0,67.9,24300.0
82,False,150.0,32.0,67.4,24600.0
83,False,300.0,32.0,67.1,24900.0
84,False,135.0,31.5,67.5,25200.0
85,False,0.0,31.5,68.0,25500.0
86,False,0.0,31.5,68.0,25800.0
87,False,105.0,31.5,67.6,26100.0
88,False,300.0,31.5,67.4,26400.0
89,False,300.0,31.5,67.7,26700.0
90,False,15.0,31.0,68.4,27000.0
91,False,0.0,31.0,68.8,27300.0
92,True,0.0,31.0,68.5,27600.0
93,True,0.0,31.0,68.1,27900.0
94,True,0.0,31.0,67.8,28200.0
95,False,0.0,31.0,67.7,28500.0
96,False,30.0,30.6,67.5,28800.0
97,False,0.0,30.6,67.2,29100.0
